id;title;description;client;client_priority;target_date;product_area
1;system-worthy payment input;../fake-data/blob/hipster.txt;OBX;83331;2020-10-22;Policies
2;bypass payment;../fake-data/blob/hipster.txt;Norbank;26473;2020-10-22;Claims
3;system;../fake-data/blob/hipster.txt;Kites;93264;2020-10-21;Reports
4;Vista haptic;../fake-data/blob/hipster.txt;Unlimited;27768;2020-10-21;Policies
5;Ohio Operative Beauty;../fake-data/blob/hipster.txt;Unlimited;18708;2020-10-22;Billing
6;HDD;../fake-data/blob/hipster.txt;Unlimited;65414;2020-10-22;Policies
7;Money Market Account recontextualize bluetooth;../fake-data/blob/hipster.txt;Hawk;38173;2020-10-22;Claims
8;withdrawal back-end extranet;../fake-data/blob/hipster.txt;Hawk;2301;2020-10-22;Policies
9;matrix;../fake-data/blob/hipster.txt;Unlimited;13609;2020-10-22;Reports
10;indexing;../fake-data/blob/hipster.txt;Kites;26903;2020-10-22;Policies
